Item URL,predicated language,actual language,Notes
https://404mike.github.io/whisper-cyw/dist/1002366.html,en,en,
https://404mike.github.io/whisper-cyw/dist/1002381.html,en,en,
https://404mike.github.io/whisper-cyw/dist/1002396.html,en,en,
https://404mike.github.io/whisper-cyw/dist/1002416.html,en,en,
https://404mike.github.io/whisper-cyw/dist/1002431.html,en,en,
https://404mike.github.io/whisper-cyw/dist/1002446.html,en,en,
https://404mike.github.io/whisper-cyw/dist/1002461.html,en,en,
https://404mike.github.io/whisper-cyw/dist/1002476.html,en,en,
https://404mike.github.io/whisper-cyw/dist/1002491.html,en,music,instrument
https://404mike.github.io/whisper-cyw/dist/1003061.html,en,en,
https://404mike.github.io/whisper-cyw/dist/1003076.html,en,en,
https://404mike.github.io/whisper-cyw/dist/1003106.html,en,en,
https://404mike.github.io/whisper-cyw/dist/1003121.html,en,en,
https://404mike.github.io/whisper-cyw/dist/1003136.html,en,en,
https://404mike.github.io/whisper-cyw/dist/1003151.html,en,music,instrument
https://404mike.github.io/whisper-cyw/dist/1003166.html,en,en,
https://404mike.github.io/whisper-cyw/dist/1003181.html,en,en,
https://404mike.github.io/whisper-cyw/dist/1003196.html,en,en,
https://404mike.github.io/whisper-cyw/dist/1003211.html,en,en,
https://404mike.github.io/whisper-cyw/dist/1003226.html,en,en,
https://404mike.github.io/whisper-cyw/dist/1003241.html,en,en,
https://404mike.github.io/whisper-cyw/dist/1003561.html,en,music,instrument
https://404mike.github.io/whisper-cyw/dist/1003571.html,en,en,
https://404mike.github.io/whisper-cyw/dist/1003581.html,en,en,
https://404mike.github.io/whisper-cyw/dist/1003591.html,en,en,
https://404mike.github.io/whisper-cyw/dist/1003601.html,en,music,en
https://404mike.github.io/whisper-cyw/dist/1003641.html,en,en,
https://404mike.github.io/whisper-cyw/dist/1003651.html,en,en,
https://404mike.github.io/whisper-cyw/dist/1003701.html,en,en,
https://404mike.github.io/whisper-cyw/dist/1003731.html,en,music,en
https://404mike.github.io/whisper-cyw/dist/1003991.html,en,en,
https://404mike.github.io/whisper-cyw/dist/1012266.html,en,en,
https://404mike.github.io/whisper-cyw/dist/1013551.html,en,music,en
https://404mike.github.io/whisper-cyw/dist/1013641.html,en,music,en
https://404mike.github.io/whisper-cyw/dist/1013661.html,en,music,en
https://404mike.github.io/whisper-cyw/dist/1013751.html,en,music,en
https://404mike.github.io/whisper-cyw/dist/1017291.html,en,music,en
https://404mike.github.io/whisper-cyw/dist/1021846.html,en,music,cy
https://404mike.github.io/whisper-cyw/dist/1021856.html,en,music,en
https://404mike.github.io/whisper-cyw/dist/1029901.html,en,en,
https://404mike.github.io/whisper-cyw/dist/1032896.html,en,music,en
https://404mike.github.io/whisper-cyw/dist/1038321.html,en,music,en
https://404mike.github.io/whisper-cyw/dist/1042261.html,en,music,en
https://404mike.github.io/whisper-cyw/dist/1042361.html,en,music,en
https://404mike.github.io/whisper-cyw/dist/1045096.html,en,music,cy
https://404mike.github.io/whisper-cyw/dist/1050396.html,en,music,instrument
https://404mike.github.io/whisper-cyw/dist/1106501.html,en,en,
https://404mike.github.io/whisper-cyw/dist/1189926.html,en,en,
